Z,N,exp,sd,SKM,SKP,SLY4,SVMIN,UNEDF0,UNEDF1,A,AME2016,S2n_16,AME2003,S2n_03
19.0,24.0,17.15848,0.00041,18.344166,17.192425,16.951692,17.073684,17.274135,16.785854,43.0,368.77745999999996,17.158507999999983,368.795305,17.176804000000004
19.0,26.0,16.18288,0.00066,17.493841,15.72714,15.916569,15.678745,15.676818,15.379518,45.0,384.96033,16.182870000000037,384.95286,16.157555000000002
19.0,28.0,15.23897,0.00149,15.707049,14.008945,13.910615,13.872344,13.904744,13.453457,47.0,400.199313,15.238983000000019,400.183568,15.230707999999993
19.0,30.0,10.04215,0.00161,12.48734,12.224168,10.613233,11.701798,11.993405,11.237126,49.0,410.24142599999993,10.042112999999915,410.94923099999994,10.765662999999961
20.0,18.0,31.74998,0.04,29.066771,30.7572,30.991106,30.699231,29.520565,31.702398,38.0,313.121634,31.74998999999997,313.122356,31.762519999999995
20.0,20.0,28.93052,0.0002,26.133367,26.779512,27.522115,27.018514,26.24927,27.998324,40.0,342.05212000000006,28.930486000000087,342.0520399999999,28.929683999999895
20.0,22.0,19.84349,0.00015,21.845594,21.473512,21.114745,21.385105,21.511149,21.131846,42.0,361.89564599999994,19.843525999999883,361.89547799999997,19.84343800000005
20.0,24.0,19.06406,0.00029,20.19293,19.093457,18.926799,19.04855,19.241774,18.88685,44.0,380.9597,19.064054000000056,380.95948,19.064002000000016
20.0,26.0,17.81332,0.00226,19.303946,17.536387,17.839646,17.573772,17.589283000000002,17.360868,46.0,398.773034,17.813333999999998,398.76871,17.809230000000014
20.0,28.0,17.2279,0.00223,17.450699,15.710691,15.714745,15.585862,15.599879,15.261111,48.0,416.00092800000004,17.22789400000005,415.99041600000004,17.22170600000004
20.0,30.0,11.50723,0.00159,13.716859,13.722851,12.002223,13.08319,13.35127,12.653689,50.0,427.50815000000006,11.507222000000013,427.48974999999996,11.49933399999992
20.0,32.0,10.81968,0.00172,11.346485,11.183203,9.77639,10.366244,10.605666,10.081873,52.0,438.327812,10.819661999999937,436.57068000000004,9.08093000000008
21.0,20.0,30.61234,0.024,28.106329,28.813617,29.642799,29.11508,28.376785,30.250109,41.0,343.13711800000004,30.612334000000033,343.13711800000004,30.61701400000004
21.0,22.0,23.68832,0.00186,23.515915,23.260287,23.029139,23.320461,23.487,23.181555,43.0,366.825475,23.68835699999994,366.82530299999996,23.68818499999992
21.0,24.0,21.02643,0.00198,21.845751,20.863973,20.77441,20.957358,21.165184,20.938073,45.0,387.851895,21.02642000000003,387.8478,21.022497000000044
21.0,26.0,19.40733,0.00204,20.944281,19.275946,19.656388,19.411254,19.482437,19.232716,47.0,407.25922999999995,19.407334999999932,407.2547650000001,19.40696500000007
21.0,28.0,18.3673,0.00332,19.025955,17.340824,17.452286,17.268109,17.357977,17.06585,49.0,425.626544,18.36731400000008,425.6176260000001,18.36286100000001
21.0,30.0,12.81005,0.02018,14.901958,15.167993,13.417667,14.464495,14.732595,13.989962,51.0,438.43659599999995,12.810051999999928,438.42609000000004,12.808463999999958
22.0,20.0,32.39692,0.16,30.015934,30.769855,31.717737,31.197914,30.458092,32.489479,42.0,346.888374,32.39693399999999,346.905258,32.41393799999997
22.0,22.0,28.58653,0.00075,25.142198,25.007447,24.884805,25.199087,25.359734,25.1896,44.0,375.47488000000004,28.586506000000043,375.47479200000004,28.569534000000033
22.0,24.0,22.72186,0.00072,23.462983,22.535706,22.632984,22.861776,23.009831,22.973667,46.0,398.19674599999996,22.72186599999992,398.192376,22.717583999999988
22.0,26.0,20.50754,0.00014,22.510492,20.94829,21.408708,21.190543,21.295835,21.043783,48.0,418.704288,20.507542000000058,418.699344,20.506967999999972
22.0,28.0,19.08159,5e-05,20.547077,18.912493,19.118636,18.908684,19.003737,18.818965,50.0,437.78589999999997,19.08161199999995,437.78090000000003,19.081556000000035
22.0,30.0,14.189675,0.003002,16.026573,16.530641,14.77465,15.7975,16.01746,15.26898,52.0,451.96668399999993,14.18078399999996,451.96169199999997,14.18079199999994
22.0,32.0,12.407935,0.016279,13.646252,13.748953,12.44259,12.796378,13.027558,12.411163,54.0,464.2614899999999,12.294805999999994,464.2338960000001,12.272204000000102
22.0,34.0,9.718683000000002,0.122298,10.092405,10.70157,9.984586,10.155882,9.889049,9.428756,56.0,474.10216,9.840670000000102,473.718896,9.4849999999999
23.0,24.0,26.26324,0.00086,26.062607,25.000097,25.444809,25.401468,25.312822,25.795262,47.0,403.36457500000006,26.263270000000034,403.359969,26.265053999999964
23.0,26.0,22.09795,0.00083,23.852303,22.576348,22.899296,22.797108,22.998758,22.730075,49.0,425.462492,22.09791699999994,425.45749400000005,22.097525000000076
